[INFO ] 2022-12-15 22:30:25.931 : o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[INFO ] 2022-12-15 22:30:25.940 : o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
[INFO ] 2022-12-15 22:30:26.068 : o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface me.kdshim.kdd_j.book.BookRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[INFO ] 2022-12-15 22:30:26.077 : o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface me.kdshim.kdd_j.link.LinkRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[INFO ] 2022-12-15 22:30:26.082 : o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface me.kdshim.kdd_j.member.MemberRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[INFO ] 2022-12-15 22:30:26.087 : o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface me.kdshim.kdd_j.todo.TodoRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[INFO ] 2022-12-15 22:30:26.090 : o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 142 ms. Found 0 JDBC repository interfaces.
[INFO ] 2022-12-15 22:30:26.139 : o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[INFO ] 2022-12-15 22:30:26.142 : o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[INFO ] 2022-12-15 22:30:26.251 : o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 104 ms. Found 4 JPA repository interfaces.
[INFO ] 2022-12-15 22:30:28.852 :            o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[DEBUG] 2022-12-15 22:30:29.312 :        o.h.t.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@37ed773c
[DEBUG] 2022-12-15 22:30:29.312 :        o.h.t.BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@37ed773c
[DEBUG] 2022-12-15 22:30:29.313 :        o.h.t.BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@12fe0cda
[DEBUG] 2022-12-15 22:30:29.314 :        o.h.t.BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@12fe0cda
[DEBUG] 2022-12-15 22:30:29.315 :        o.h.t.BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6dcd08ce
[DEBUG] 2022-12-15 22:30:29.316 :        o.h.t.BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6dcd08ce
[DEBUG] 2022-12-15 22:30:29.317 :        o.h.t.BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@7994cb37
[DEBUG] 2022-12-15 22:30:29.317 :        o.h.t.BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@7994cb37
[DEBUG] 2022-12-15 22:30:29.317 :        o.h.t.BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@29798a1e
[DEBUG] 2022-12-15 22:30:29.318 :        o.h.t.BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@71fb9430
[DEBUG] 2022-12-15 22:30:29.321 :        o.h.t.BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1f8d2d2a
[DEBUG] 2022-12-15 22:30:29.322 :        o.h.t.BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1f8d2d2a
[DEBUG] 2022-12-15 22:30:29.324 :        o.h.t.BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@419074cb
[DEBUG] 2022-12-15 22:30:29.325 :        o.h.t.BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@419074cb
[DEBUG] 2022-12-15 22:30:29.326 :        o.h.t.BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@d5c7104
